,datetime,eo_code,motohours
0,2022-03-30,100000065981,43966.051
2,2022-03-30,100000065980,44419.49
4,2022-03-30,100000065979,43732.666
6,2022-03-30,100000065978,43871.619
8,2022-03-30,100000065977,42918.493
10,2022-03-30,100000065635,62731.17
12,2022-03-30,100000065636,59902.464
14,2022-03-30,100000065634,61424.613
16,2022-03-30,100000065633,59826.524
18,2022-03-30,100000065631,59157.581
20,2022-03-30,100000065629,62738.288
22,2022-03-30,100000065632,59960.334
24,2022-03-30,100000065630,62548.77
26,2022-03-30,100000065628,55565.064
28,2022-03-30,100000065627,63262.25
30,2022-03-30,100000065623,65493.826
32,2022-03-30,100000065624,63883.111
34,2022-03-30,100000065626,64719.125
36,2022-03-30,100000065643,71545.255
38,2022-03-30,100000065641,72789.046
40,2022-03-30,100000065638,72119.641
42,2022-03-30,100000065639,74115.034
44,2022-03-30,100000065637,74663.148
46,2022-03-30,100000065640,72295.422
48,2022-03-30,100000065622,84134.339
50,2022-03-30,100000065620,86185.95
52,2022-03-30,100000065619,81739.077
54,2022-03-30,100000065618,85624.044
56,2022-03-30,100000065617,84695.717
58,2022-03-30,100000065616,87962.172
60,2022-03-30,100000065615,85813.421
62,2022-03-30,100000065614,86841.495
64,2022-03-30,100000065613,87495.206
66,2022-03-30,100000065612,88720.033
68,2022-03-30,100000065611,86964.42
70,2022-03-30,100000065609,83903.888
72,2022-03-30,100000065608,86077.873
74,2022-03-30,100000065607,85627.91
76,2022-03-30,100000065606,90914.724
78,2022-03-30,100000062385,53346.169
80,2022-03-30,100000062387,57065.884
82,2022-03-30,100000062388,59843.297
84,2022-03-30,100000062389,56983.223
86,2022-03-30,100000062386,56964.824
88,2022-03-30,100000062399,62766.929
90,2022-03-30,100000062398,60999.73
92,2022-03-30,100000062397,63679.588
94,2022-03-30,100000062396,63363.735
96,2022-03-30,100000062395,63282.993
98,2022-03-30,100000062390,67287.45
100,2022-03-30,100000062392,65512.025
102,2022-03-30,100000062394,66018.923
104,2022-03-30,100000062393,60771.936
106,2022-03-30,100000062391,65607.532
108,2022-03-30,100000062384,80797.599
110,2022-03-30,100000062383,82117.22
112,2022-03-30,100000062382,81521.206
114,2022-03-30,100000062381,82555.275
116,2022-03-30,100000065976,84718.625
118,2022-03-30,100000062380,81476.2
120,2022-03-30,100000065967,81407.471
122,2022-03-30,100000065974,83695.65
124,2022-03-30,100000065972,84300.974
126,2022-03-30,100000065971,84152.782
128,2022-03-30,100000065970,86296.301
130,2022-03-30,100000065969,81127.971
132,2022-03-30,100000065968,83931.552
134,2022-03-30,100000062376,96138.566
136,2022-03-30,100000062377,97629.764
138,2022-03-30,100000062379,96811.007
140,2022-03-30,100000062373,97884.305
142,2022-03-30,100000062372,97972.697
144,2022-03-30,100000062371,98788.923
146,2022-03-30,100000062370,102560.619
148,2022-03-30,100000028868,97861.448
153,2022-03-29,100000062390,67276.853
154,2022-03-30,100000008674,32147.15
155,2022-03-30,100000008673,32864.62
156,2022-03-30,100000084396,32169.0
158,2022-03-30,100000084397,29978.0
160,2022-03-30,100000084398,26686.0
162,2022-03-30,100000084399,30445.0
164,2022-03-30,100000084400,27126.0
167,2022-03-30,100000084402,30711.0
169,2022-03-30,100000084403,30552.0
171,2022-03-30,100000084404,29715.0
173,2022-03-30,100000084405,29579.0
175,2022-03-30,100000084406,30087.0
177,2022-03-30,100000084407,28166.0
179,2022-03-30,100000084408,29616.0
181,2022-03-30,100000084409,29609.0
183,2022-03-30,100000084410,29536.0
185,2022-03-30,100000084411,28946.0
187,2022-03-30,100000084412,27098.0
189,2022-03-29,100000065631,59157.081
191,2022-03-29,100000065981,43955.486
193,2022-03-29,100000065980,44408.06
195,2022-03-29,100000065979,43720.796
197,2022-03-29,100000065978,43860.909
199,2022-03-29,100000065977,42906.513
201,2022-03-29,100000062389,56971.343
203,2022-03-29,100000062388,59831.377
205,2022-03-29,100000062387,57053.884
207,2022-03-29,100000062386,56953.805
209,2022-03-29,100000062385,53335.72
211,2022-03-29,100000062384,80785.609
213,2022-03-29,100000062383,82107.103
215,2022-03-29,100000062382,81509.356
217,2022-03-29,100000062381,82544.863
219,2022-03-29,100000065976,84706.865
221,2022-03-29,100000065636,59899.484
223,2022-03-29,100000065635,62720.37
225,2022-03-29,100000065634,61413.818
227,2022-03-29,100000065633,59816.294
229,2022-03-29,100000065632,59950.294
231,2022-03-29,100000065643,71544.535
233,2022-03-29,100000065641,72778.252
235,2022-03-29,100000065640,72285.082
237,2022-03-29,100000065639,74107.508
239,2022-03-29,100000065638,72108.865
241,2022-03-29,100000065637,74657.468
243,2022-03-29,100000062379,96800.715
245,2022-03-29,100000062377,97617.904
247,2022-03-29,100000062376,96127.929
249,2022-03-29,100000062373,97884.195
251,2022-03-29,100000062372,97961.197
253,2022-03-29,100000062371,98777.313
255,2022-03-29,100000062370,102550.106
257,2022-03-29,100000062369,99012.147
258,2022-03-29,100000028868,97850.048
260,2022-03-29,100000065606,90903.224
262,2022-03-29,100000062380,81465.736
264,2022-03-29,100000065967,81395.991
266,2022-03-29,100000065611,86952.42
268,2022-03-29,100000065609,83892.038
270,2022-03-29,100000065608,86066.323
272,2022-03-29,100000065607,85617.165
273,2022-03-29,100000065615,85805.291
275,2022-03-29,100000065614,86829.595
277,2022-03-29,100000065613,87493.156
279,2022-03-29,100000065612,88708.033
281,2022-03-29,100000065622,84125.039
282,2022-03-29,100000065974,83683.85
284,2022-03-29,100000065972,84289.194
286,2022-03-29,100000065971,84141.918
288,2022-03-29,100000065970,86284.421
290,2022-03-29,100000065969,81117.222
292,2022-03-29,100000065968,83921.285
294,2022-03-29,100000065620,86174.19
296,2022-03-29,100000065619,81727.077
298,2022-03-29,100000065618,85623.154
300,2022-03-29,100000065617,84686.837
302,2022-03-29,100000065616,87951.604
304,2022-03-29,100000065630,62547.17
306,2022-03-29,100000065629,62727.284
308,2022-03-29,100000065628,55555.778
310,2022-03-29,100000065627,63259.442
312,2022-03-29,100000065626,64718.655
314,2022-03-29,100000065624,63872.368
316,2022-03-29,100000065623,65483.077
318,2022-03-29,100000062399,62756.483
320,2022-03-29,100000062398,60988.91
322,2022-03-29,100000062397,63668.764
324,2022-03-29,100000062396,63352.025
326,2022-03-29,100000062395,63271.193
328,2022-03-29,100000062394,66006.973
330,2022-03-29,100000062393,60759.946
332,2022-03-29,100000062392,65500.025
334,2022-03-29,100000062391,65596.478
337,2022-03-29,100000084412,27086.0
339,2022-03-29,100000084411,28934.0
341,2022-03-29,100000084410,29524.0
343,2022-03-29,100000084409,29597.0
345,2022-03-29,100000084408,29615.0
347,2022-03-29,100000065616,87940.584
348,2022-03-29,100000084407,28154.0
351,2022-03-29,100000084406,30075.0
353,2022-03-29,100000084405,29567.0
355,2022-03-29,100000084404,29703.0
357,2022-03-29,100000084403,30540.0
359,2022-03-29,100000084402,30699.0
361,2022-03-29,100000084401,30845.0
363,2022-03-29,100000084400,27114.0
365,2022-03-29,100000084399,30433.0
367,2022-03-29,100000084398,26674.0
369,2022-03-29,100000084397,29966.0
371,2022-03-29,100000065632,59940.458
372,2022-03-29,100000084396,32157.0
374,2022-03-29,100000065976,84700.765
376,2022-03-29,100000008674,32136.0
377,2022-03-29,100000008673,32852.62
378,2022-03-29,100000065981,43944.056
380,2022-03-29,100000065980,44396.4
382,2022-03-29,100000065979,43709.316
384,2022-03-29,100000065978,43849.839
386,2022-03-29,100000065977,42895.812
390,2022-03-29,100000065635,62710.548
392,2022-03-29,100000065636,59898.404
394,2022-03-29,100000065634,61403.574
396,2022-03-29,100000065633,59811.864
398,2022-03-29,100000065631,59156.741
400,2022-03-29,100000065629,62716.93
403,2022-03-29,100000065630,62544.94
405,2022-03-29,100000065628,55545.566
407,2022-03-29,100000065627,63249.465
409,2022-03-29,100000065623,65471.587
411,2022-03-29,100000065624,63863.468
413,2022-03-29,100000065626,64718.345
415,2022-03-29,100000065643,71543.795
417,2022-03-29,100000065641,72768.929
419,2022-03-29,100000065638,72099.027
421,2022-03-29,100000065639,74097.237
423,2022-03-29,100000065637,74654.538
425,2022-03-29,100000065640,72274.272
427,2022-03-29,100000065622,84123.809
429,2022-03-29,100000065620,86163.719
431,2022-03-29,100000065619,81717.237
433,2022-03-29,100000065618,85622.424
435,2022-03-29,100000065617,84679.007
438,2022-03-29,100000065615,85799.661
440,2022-03-29,100000065614,86818.415
442,2022-03-29,100000065613,87488.876
444,2022-03-29,100000065612,88696.913
446,2022-03-29,100000065611,86941.34
448,2022-03-29,100000065609,83881.888
450,2022-03-29,100000065608,86055.463
452,2022-03-29,100000065607,85606.085
453,2022-03-29,100000065606,90891.944
455,2022-03-29,100000062385,53324.03
457,2022-03-29,100000062387,57045.394
459,2022-03-29,100000062388,59819.807
461,2022-03-29,100000062389,56959.343
463,2022-03-29,100000062386,56942.565
465,2022-03-29,100000062399,62744.963
467,2022-03-29,100000062398,60977.03
469,2022-03-29,100000062397,63657.881
471,2022-03-29,100000062396,63340.415
473,2022-03-29,100000062395,63260.361
475,2022-03-29,100000062390,67266.428
477,2022-03-29,100000062392,65488.865
479,2022-03-29,100000062394,65996.768
481,2022-03-29,100000062393,60748.956
483,2022-03-29,100000062391,65584.818
485,2022-03-29,100000062384,80774.069
487,2022-03-29,100000062383,82095.723
489,2022-03-29,100000062382,81497.666
