,datetime,eo_code,motohours,eo_model_name,eo_model_id,eo_description,level_1_description,operation_start_date,operation_start_date_ts,motohours_date_ts,motohours_measure_ts
0,2022-03-30,100000065981,43966.051,Самосвалы CAT 785C,65,Самосвал карьерный 785C №450,Олимпиадинский ГОК,2016-08-10,1470787200,1648598400,177811200
1,2022-03-30,100000065980,44419.49,Самосвалы CAT 785C,65,Самосвал карьерный 785C №449,Олимпиадинский ГОК,2016-08-10,1470787200,1648598400,177811200
2,2022-03-30,100000065979,43732.666,Самосвалы CAT 785C,65,Самосвал карьерный 785C №448,Олимпиадинский ГОК,2016-08-10,1470787200,1648598400,177811200
3,2022-03-30,100000065978,43871.619,Самосвалы CAT 785C,65,Самосвал карьерный 785C №447,Олимпиадинский ГОК,2016-08-10,1470787200,1648598400,177811200
4,2022-03-30,100000065977,42918.493,Самосвалы CAT 785C,65,Самосвал карьерный 785C №446,Олимпиадинский ГОК,2016-08-10,1470787200,1648598400,177811200
5,2022-03-30,100000065635,62731.17,Самосвалы CAT 785C,65,Самосвал карьерный 785C №536,Олимпиадинский ГОК,2014-03-06,1394064000,1648598400,254534400
6,2022-03-30,100000065636,59902.464,Самосвалы CAT 785C,65,Самосвал карьерный 785C №535,Олимпиадинский ГОК,2014-03-06,1394064000,1648598400,254534400
7,2022-03-30,100000065634,61424.613,Самосвалы CAT 785C,65,Самосвал карьерный 785C №534,Олимпиадинский ГОК,2014-03-06,1394064000,1648598400,254534400
8,2022-03-30,100000065633,59826.524,Самосвалы CAT 785C,65,Самосвал карьерный 785C №533,Олимпиадинский ГОК,2014-03-06,1394064000,1648598400,254534400
9,2022-03-30,100000065631,59157.581,Самосвалы CAT 785C,65,Самосвал карьерный 785C №532,Олимпиадинский ГОК,2014-02-28,1393545600,1648598400,255052800
10,2022-03-30,100000065629,62738.288,Самосвалы CAT 785C,65,Самосвал карьерный 785C №531,Олимпиадинский ГОК,2021-07-03,1625270400,1648598400,23328000
11,2022-03-30,100000065632,59960.334,Самосвалы CAT 785C,65,Самосвал карьерный 785C №530,Олимпиадинский ГОК,2014-02-28,1393545600,1648598400,255052800
12,2022-03-30,100000065630,62548.77,Самосвалы CAT 785C,65,Самосвал карьерный 785C №529,Олимпиадинский ГОК,2014-02-28,1393545600,1648598400,255052800
