Документ измерений,Дата,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
31364281,3/30/2022,"43966,051",МТЧ,100000065981
31364210,3/30/2022,"551573,853",км,100000065981
31364258,3/30/2022,"44419,490",МТЧ,100000065980
31364235,3/30/2022,"552598,949",км,100000065980
31364218,3/30/2022,"43732,666",МТЧ,100000065979
31364195,3/30/2022,"547174,411",км,100000065979
31364184,3/30/2022,"43871,619",МТЧ,100000065978
31364174,3/30/2022,"538981,437",км,100000065978
31364140,3/30/2022,"42918,493",МТЧ,100000065977
31364153,3/30/2022,"538732,753",км,100000065977
31363588,3/30/2022,"62731,170",МТЧ,100000065635
31363640,3/30/2022,"820180,823",км,100000065635
31363644,3/30/2022,"59902,464",МТЧ,100000065636
31363626,3/30/2022,"814976,110",км,100000065636
31363609,3/30/2022,"61424,613",МТЧ,100000065634
31363594,3/30/2022,"829844,947",км,100000065634
31363575,3/30/2022,"59826,524",МТЧ,100000065633
31363551,3/30/2022,"821984,704",км,100000065633
31363482,3/30/2022,"59157,581",МТЧ,100000065631
31363349,3/30/2022,"803080,619",км,100000065631
31363419,3/30/2022,"62738,288",МТЧ,100000065629
31363448,3/30/2022,"861558,412",км,100000065629
31363432,3/30/2022,"59960,334",МТЧ,100000065632
31363370,3/30/2022,"811921,741",км,100000065632
31363405,3/30/2022,"62548,770",МТЧ,100000065630
31363391,3/30/2022,"846737,550",км,100000065630
31363374,3/30/2022,"55565,064",МТЧ,100000065628
31363355,3/30/2022,"767164,681",км,100000065628
31363335,3/30/2022,"63262,250",МТЧ,100000065627
31363324,3/30/2022,"867466,505",км,100000065627
31363199,3/30/2022,"65493,826",МТЧ,100000065623
31363220,3/30/2022,"895964,075",км,100000065623
31363169,3/30/2022,"63883,111",МТЧ,100000065624
31363277,3/30/2022,"885005,033",км,100000065624
31363259,3/30/2022,"64719,125",МТЧ,100000065626
31363237,3/30/2022,"899778,190",км,100000065626
31363224,3/30/2022,"71545,255",МТЧ,100000065643
31363206,3/30/2022,"983256,015",км,100000065643
31363184,3/30/2022,"72789,046",МТЧ,100000065641
31363154,3/30/2022,"983404,900",км,100000065641
31363050,3/30/2022,"72119,641",МТЧ,100000065638
31363100,3/30/2022,"992840,641",км,100000065638
31363111,3/30/2022,"74115,034",МТЧ,100000065639
31363104,3/30/2022,"1032151,155",км,100000065639
31363086,3/30/2022,"74663,148",МТЧ,100000065637
31363061,3/30/2022,"1036404,259",км,100000065637
31363051,3/30/2022,"72295,422",МТЧ,100000065640
31363035,3/30/2022,"999977,180",км,100000065640
31363010,3/30/2022,"84134,339",МТЧ,100000065622
31362995,3/30/2022,"1116149,831",км,100000065622
31362918,3/30/2022,"86185,950",МТЧ,100000065620
31362957,3/30/2022,"1162184,855",км,100000065620
31362935,3/30/2022,"81739,077",МТЧ,100000065619
31362923,3/30/2022,"1069059,440",км,100000065619
31362899,3/30/2022,"85624,044",МТЧ,100000065618
31362876,3/30/2022,"1146464,752",км,100000065618
31362864,3/30/2022,"84695,717",МТЧ,100000065617
31362729,3/30/2022,"1123964,286",км,100000065617
31362835,3/30/2022,"87962,172",МТЧ,100000065616
31362807,3/30/2022,"1160651,001",км,100000065616
31362791,3/30/2022,"85813,421",МТЧ,100000065615
31362769,3/30/2022,"1107588,717",км,100000065615
31362736,3/30/2022,"86841,495",МТЧ,100000065614
31362716,3/30/2022,"1127022,250",км,100000065614
31362590,3/30/2022,"87495,206",МТЧ,100000065613
31362691,3/30/2022,"1169137,437",км,100000065613
31362681,3/30/2022,"88720,033",МТЧ,100000065612
31362672,3/30/2022,"1180654,878",км,100000065612
31362661,3/30/2022,"86964,420",МТЧ,100000065611
31362654,3/30/2022,"1127011,112",км,100000065611
31362637,3/30/2022,"83903,888",МТЧ,100000065609
31362616,3/30/2022,"1163599,065",км,100000065609
31362596,3/30/2022,"86077,873",МТЧ,100000065608
31362575,3/30/2022,"1112964,478",км,100000065608
31362510,3/30/2022,"85627,910",МТЧ,100000065607
31362554,3/30/2022,"1126210,706",км,100000065607
31362538,3/30/2022,"90914,724",МТЧ,100000065606
31362523,3/30/2022,"1206685,740",км,100000065606
31362512,3/30/2022,"53346,169",МТЧ,100000062385
31362496,3/30/2022,"727875,525",км,100000062385
31362399,3/30/2022,"57065,884",МТЧ,100000062387
31362471,3/30/2022,"733307,968",км,100000062387
31362463,3/30/2022,"59843,297",МТЧ,100000062388
31362447,3/30/2022,"774966,000",км,100000062388
31362350,3/30/2022,"56983,223",МТЧ,100000062389
31362319,3/30/2022,"751114,465",км,100000062389
31362404,3/30/2022,"56964,824",МТЧ,100000062386
31362382,3/30/2022,"738639,211",км,100000062386
31362367,3/30/2022,"62766,929",МТЧ,100000062399
31362352,3/30/2022,"789243,461",км,100000062399
31362335,3/30/2022,"60999,730",МТЧ,100000062398
31362300,3/30/2022,"787046,418",км,100000062398
31362305,3/30/2022,"63679,588",МТЧ,100000062397
31362282,3/30/2022,"828896,013",км,100000062397
31362237,3/30/2022,"63363,735",МТЧ,100000062396
